player_name,season,off_score_1,off_score_2,off_score_3,def_score,reb_score
Pierre Oriola,2020-2021,95.20252800919276,9.709853490376329,9.04912381499569,64.78023556449295,81.70066072967538
Usman Garuba Alari,2020-2021,62.539500143636886,34.788853777650104,23.81499569089342,80.14938236139041,96.79689744326343
Rolands Smits,2020-2021,75.06463659867853,30.76702097098535,7.0956621660442405,29.7328353921287,65.06750933639759
Nikola Kalinic,2020-2021,79.43119793162884,66.01551278368285,44.98707268026429,83.8264866417696,61.37604136742315
Adam Hanga,2020-2021,25.596093076702097,77.6213731686297,41.28124102269462,71.12898592358518,72.5653547831083
Mike Tobey,2020-2021,91.75524274633726,33.007756391841426,7.55530020109164,84.3723068083884,85.09049123814995
Leandro Bolmaro,2020-2021,20.195346164895145,89.62941683424303,76.0126400459638,55.87474863544958,16.604424016087332
Nick Calathes,2020-2021,63.602413099684,83.51048549267452,99.28181557023844,70.81298477449009,52.441827061189315
Kyle Kuric,2020-2021,39.32777937374318,37.7765010054582,71.24389543234703,49.46854352197644,18.213157138753232
Klemen Prepelic,2020-2021,51.22091353059466,70.84171215168055,81.7581154840563,40.7641482332663,13.386957770755531
Ante Tomic,2020-2021,96.52398735995403,15.282964665326055,17.351335823039356,85.14794599253088,91.33869577707556
Ferran Bassas,2020-2021,33.38121229531744,97.6156276931916,69.6638896868716,20.48261993679977,10.313128411376042
Sam Van Rossom,2020-2021,30.824475725366273,93.88106865843147,56.133295030163744,51.91037058316576,6.808388394139615
Rokas Giedraitis,2020-2021,65.95805802930192,62.9129560471129,74.26027003734559,68.54352197644356,30.824475725366273
Derrick Williams,2020-2021,77.04682562482046,62.02240735420857,58.66130422292445,33.23757540936513,49.12381499569089
Joel Parra Lopez,2020-2021,41.999425452456194,16.94915254237288,26.457914392415972,11.31858661304223,74.66245331801207
Pierria Henry,2020-2021,48.60672220626257,58.23039356506751,61.36167767882792,54.32347026716461,27.362826773915543
Vladimir Brodziansky,2020-2021,77.6213731686297,44.03906923297903,27.03246193622522,96.09307670209712,56.10456765297328
Alejandro Abrines Redondo,2020-2021,13.530594656707844,55.44383797759265,39.12668773340994,51.680551565642055,46.71071531169204
Nikola Mirotic,2020-2021,85.23412812410227,50.703820741166325,40.79287561045676,95.777075553002,82.0310255673657
Martin Hermannsson,2020-2021,27.8942832519391,84.68830795748347,84.31485205400747,27.549554725653547,13.631140476874462
Tadas Sedekerskis,2020-2021,56.44929617925884,16.71933352484918,29.87647227808101,97.6156276931916,85.09049123814995
Simon Birgander,2020-2021,88.53777650100547,2.0396437805228382,2.1832806664751505,95.97816719333524,83.61103131284113
Carlos Alocen,2020-2021,3.160011490950876,92.73197357081298,79.57483481758115,9.709853490376329,42.90433783395576
Jaycee Carroll,2020-2021,32.4906636024131,22.924446997989083,84.97558172938811,23.412812410226948,34.41539787417408
Stan Okoye,2020-2021,43.95288710140764,64.75150818730249,80.14938236139041,54.582016661878775,50.28727377190463
Louis Labeyrie,2020-2021,72.33553576558461,33.06521114622235,33.208848032174664,96.00689457052572,76.25682275208273
Albert Ventura,2020-2021,14.421143349612182,57.94311979316289,24.446997989083595,53.059465670784256,35.59322033898305
Edy Tavares,2020-2021,93.53634013214594,7.78511921861534,11.548405630565927,96.63889686871588,99.13817868428613
Zoran Dragic,2020-2021,48.03217466245332,51.22091353059466,66.84860672220626,52.08273484630853,15.469692617064062
Dino Radoncic,2020-2021,76.12754955472565,44.81470841712152,83.36684860672221,74.03045101982188,72.20626256822752
Laurynas Beliauskas,2020-2021,18.701522550991097,84.17121516805516,57.512209135305945,47.80235564492962,10.902039643780522
Rafa Martinez,2020-2021,15.225509910945132,36.656133295030166,77.50646365986785,32.14593507612755,16.331513932777938
