number of player's possessions
61.0
45.0
43.0
42.0
48.0
37.0
34.0
42.0
50.0
61.0
55.0
47.0
39.0
31.0
27.0
26.0
47.0
47.0
50.0
25.0
47.0
45.0
52.0
33.0
69.0
34.0
39.0
39.0
25.0
47.0
51.0
55.0
70.0
49.0
47.0
40.0
37.0
53.0
67.0
37.0
44.0
22.0
51.0
45.0
57.0
21.0
62.0
67.0
40.0
52.0
24.0
38.0
49.0
48.0
51.0
48.0
52.0
54.0
44.0
41.0
53.0
50.0
54.0
38.0
53.0
57.0
43.0
52.0
38.0
41.0
31.0
58.0
56.0
47.0
35.0
58.0
48.0
50.0
51.0
67.0
52.0
44.0
57.0
72.0
69.0
52.0
77.0
42.0
50.0
39.0
36.0
47.0
44.0
44.0
47.0
36.0
43.0
40.0
53.0
53.0
35.0
40.0
43.0
36.0
39.0
38.0
45.0
59.0
39.0
50.0
46.0
34.0
42.0
51.0
31.0
38.0
54.0
54.0
41.0
42.0
31.0
37.0
42.0
37.0
62.0
45.0
26.0
39.0
22.0
46.0
51.0
37.0
46.0
43.0
21.0
31.0
33.0
45.0
42.0
39.0
45.0
33.0
58.0
36.0
50.0
51.0
31.0
43.0
33.0
52.0
33.0
28.0
35.0
52.0
39.0
45.0
54.0
33.0
35.0
41.0
44.0
42.0
32.0
31.0
39.0
56.0
51.0
61.0
40.0
42.0
38.0
33.0
24.0
41.0
50.0
43.0
36.0
49.0
52.0
49.0
51.0
25.0
54.0
38.0
24.0
56.0
34.0
45.0
24.0
48.0
51.0
32.0
39.0
47.0
34.0
50.0
39.0
51.0
52.0
32.0
57.0
41.0
25.0
42.0
44.0
41.0
43.0
44.0
31.0
35.0
40.0
32.0
37.0
43.0
44.0
40.0
38.0
40.0
29.0
34.0
31.0
43.0
47.0
43.0
46.0
41.0
50.0
55.0
55.0
32.0
50.0
48.0
32.0
44.0
46.0
32.0
29.0
33.0
33.0
45.0
42.0
51.0
43.0
34.0
25.0
28.0
45.0
40.0
43.0
37.0
32.0
32.0
37.0
55.0
32.0
42.0
30.0
39.0
48.0
51.0
41.0
28.0
46.0
38.0
39.0
36.0
39.0
59.0
48.0
28.0
39.0
48.0
45.0
42.0
39.0
36.0
62.0
48.0
43.0
55.0
57.0
51.0
52.0
42.0
36.0
30.0
54.0
44.0
45.0
48.0
50.0
49.0
47.0
26.0
40.0
26.0
47.0
39.0
41.0
20.0
46.0
47.0
53.0
53.0
31.0
34.0
36.0
60.0
39.0
33.0
41.0
40.0
37.0
40.0
28.0
37.0
46.0
31.0
30.0
50.0
48.0
49.0
45.0
35.0
31.0
37.0
53.0
37.0
59.0
39.0
49.0
35.0
28.0
43.0
43.0
41.0
55.0
35.0
47.0
64.0
41.0
61.0
55.0
26.0
34.0
32.0
54.0
40.0
50.0
49.0
38.0
45.0
37.0
35.0
37.0
46.0
39.0
49.0
48.0
50.0
53.0
33.0
46.0
47.0
52.0
49.0
51.0
51.0
58.0
29.0
35.0
20.0
27.0
42.0
27.0
39.0
31.0
47.0
