player name,def_cluster
Tyrone Wallace,B
Justin Patton,B
Emmanuel Nzekwesi,B
Terry Tarpey,A
Dylan Affo Mama,A
Juhann Mathieu Begarin,B
Armel Traore,A
Rion Cortez Brown,A
Kaza Kajami-Keane,A
Mike Scott,B
Kim Tillie,A
Milan Barbitch,A
Bruno Cingala-Mata,B
Hans Vanwijn,A
Jeremy Evans,B
Meredis Houmounou,A
Axel Toupane,A
Tres Tinkle,A
Ronald Curry,A
Jordan Loyd,A
Hugo Besson,A
Miralem Halilovic,B
TaShawn Thomas,A
Kyle Allman,A
Justin Bibbins,A
Jaime Smith,A
Tremont Waters,A
Trevon Scott,A
Gaylor Curier,A
Abdoulaye Saadi N'Doye,A
Kenny Boynton,A
Donte Lamont Grantham,A
Rudy Demahis Ballou,A
Robert Johnson,A
Ike Nwamu,A
Kyle Christopher Vinales,A
Frank Mason III,A
Keandre Cook,A
Parker Jackson-Cartwright,B
Gabe DeVoe,B
Frank Gaines,A
Abdoulaye Ndoye,A
C.J. Williams,A
Aaron Henry,A
Tahjere McCall,A
Barry Brown,A
Tyus Battle,A
Nicolas Laprovittola,A
Vincent Yann Poirier,B
Rolands Smits,B
Guerschon Yabusele,A
Edy Tavares,B
Pau Ribas,A
Ante Tomic,B
Joel Parra Lopez,A
Nikola Mirotic,A
Guillem Vives,A
Albert Ventura,A
Kyle Kuric,A
Sergi Martinez Costa,A
Derek Willis,A
Steven Enoch,B
Nigel Hayes,A
Josep Busquets,A
Nick Calathes,A
Jayson Granger,A
Simone Fontecchio,A
Wade Baldwin IV,B
Simon Birgander,B
Rokas Jokubaitis,A
Sergio Llull,A
Rokas Giedraitis,A
Brandon Davies,B
Andres Feliz Sarita,A
Adam Hanga,A
Matthew Costello,B
Jaime Pradilla,A
Fabien Causeur,A
Vanja Marinkovic,A
Miquel Salvo,A
Bojan Dubljevic,B
Tadas Sedekerskis,A
Sertac Sanli,B
Dylan Jonathan Howell Ennis McIntrye,A
Augusto Lima,B
Dino Radoncic,A
Oriol Pauli,A
Tryggvi Hlinason,B
Emanuel Ion Cate,B
Nemanja Radovic,A
Dairis Bertans,A
Tomas Bellas,A
Thomas Scrubb,A
Adam Waczynski,A
Nico Brussino,A
Josep Puerto,A
Jordan Sakho,B
Thaddeus McFadden,A
Jordan Davis,A
Gytis Masiulis,A
Isaiah Taylor,A
Dusan Ristic,B
Angel Delgado,B
Shannon Evans,A
Jasiel Rivero Fernandez,B
Kassius Robertson,A
Codi Miller-McIntyre,A
Erik Quintela,A
Khalifa Diop,B
Jeffery Taylor,A
Tyler Kalinosky,A
Louis Labeyrie,A
Clevin Hannah,A
Xabier Lopez-Arostegui,A
Sadiel Rojas,A
Rafa Freire Luz,A
Artem Pustovyi,B
Jeff Withey,B
Pablo Almazan Sierra,A
Kyle Alexander,B
Ivan Cruz,A
Laurynas Birutis,B
Vitto Brown,A
James Webb,A
A.J. Slaughter,A
Rodrigo Miguel,A
Braydon Hobbs,A
Marko Lukovic,A
John Shurna,A
Jovan Novak,A
Rasid Mahalbasic,B
Henry Ellenson,B
Kwan Cheatham Jr.,B
Moussa Diagne,B
Alberto Abalde,A
Oliver Stevic,A
Mindaugas Kacinas,A
Andrew Crawford,A
Victor Arteaga,B
Sergi Quintela Salvador,A
Alex Reyes,A
Ludde Hakanson,A
Christopher Czerapowicz,A
Martin Hermannsson,A
Alvaro Munoz,A
Viny Okouo,B
Andrew Goudelock,A
Jonathan Rousselle,A
Ziga Samar,A
Rudy Fernandez,A
Dzanan Musa,A
Babatunde Olumuyiwa,B
Andrew Albicy,A
Fernando Zurbriggen,B
Arturs Kurucs,A
Trae Bell-Haynes,A
Christian Eyenga,A
Leo Meindl,A
Conor Morgan,A
Nigel Williams-Goss,A
Laurynas Beliauskas,A
Hans Vanwijn,B
Obi Emegano,A
Mario Nakic,A
Vladimir Brodziansky,B
Thomas David Heurtel,A
Edgar Vicedo,A
Brandon Paul,A
Anzejs Pasecniks,B
Anthony Randolph,A
Deon Thompson,B
Mike Tobey,B
Ilimane Diop,B
David Jelinek,A
Beka Burjanadze,A
Alex Suarez,A
Ignacio Llovet Camp,A
Damien Inglis,A
Matt Mobley,A
Victor Claver,A
Gabriel Deck,A
Eulis Baez,A
Alec Peters,A
Alejandro Abrines Redondo,A
Aleksandar Cvetkovic,A
Sam Van Rossom,A
Omar-Sharif Cook,A
Pepe Pozas,A
Nenad Dimitrijevic,A
Chris Kramer,A
Santiago Yusta,A
Dante Exum,A
Cory Higgins,A
Ferran Bassas,A
Dragan Milosavljevic,A
Valentin Bigote,A
Jacob Wiley,B
Klemen Prepelic,A
Tarik Phillip,A
Stan Okoye,A
Philip Scrubb,A
Arturas Gudaitis,B
Georgios Papagiannis,B
Derrick Williams,A
Panagiotis Kalaitzakis,A
Thomas Walkup,A
Aleksandar Vezenkov,A
Giannoulis Larentzakis,A
Joel Bolomboy,B
Paris Lee,A
Alec Peters,A
Michail Lountzis,A
Lefteris Mantzoukas,A
Lefteris Bochoridis,A
Georgios Kalaitzakis,A
Kostas Papanikolaou,A
Mateusz Ponitka,A
Moustapha Fall,B
Konstantinos Sloukas,A
Vassilis Mouratos,A
Anthony Cowan Jr.,A
Arnoldas Kulboka,B
Shaquielle McKissic,A
Yanick Moreira,B
Omer Netzip Oglou,A
Linos Chrysikopoulos,A
Nikos Gkikas,A
Noah Horchler,A
Janaud Notae,A
Vasileios Toliopoulos,A
Giorgos Bogris,B
Michalis Tsairelis,A
Dmitrios Katsivelis,A
Giannis Agravanis,A
Chevez Goodwin,B
A.J. Davis,A
Rayshawn Simmons,A
Nick Griffin,A
Davonte Lacy,A
Zois Karampelas,A
George Conditt IV,B
Giannis Athinaiou,A
Sarantis Mastrogiannopoulos,A
Ibrahim Sylla,B
Nikolaos Arsenopoulos,A
Savion Flagg,A
Giorgos Fillios,A
Tarik Black,B
Deontae Hawkins,A
Emmanouil Chatzidakis,B
David Gabrovsek,B
Omar Calhoun,A
Sayeed Pridgett,A
Petros Geromichalos,B
Vangelis Mantzaris,A
Nemanja Dangubic,A
Marius Grigonis,A
Marquis Teague,A
Charalampos Giannopoulos,A
Elijah Mitrou-Long,A
Chris Coffey,A
Josh Hagins,A
Alexandros Nikolaidis,A
Ismael Sanogo,A
Loukas Mavrokefalidis,B
Dwayne Bacon,A
Michael Andre Dixon Jr,A
Justin Gray,A
Kendall Smith,A
Isaiah Canaan,A
Theodoros Zaras,A
Iosif Koloveros,A
Nate Wolters,A
Dustin Hogue,B
Angel Nunez,A
Cyril Langevine,B
Trevis Simpson,A
Jim Boeheim,A
Alex Hunter,A
T.J. Starks,A
Alonzo Verge,A
Sean Evans,B
David Iriarte,B
Thomas Bropleh,A
German Martinez,A
Lluis Costa,A
Alex Murphy,A
Manuel Rodriguez,A
Sergi Quintela Salvador,A
Adam Sollazzo,A
Kevin Ricki Larsen,B
Jonas Zohore-Bergstedt,B
Chumi Ortega Soriano,A
Txemi Urtasun,A
Jorge Alain Bilbao Torrontegui,B
Seydou Aboubacar Hima,B
Christian Diaz Rodriguez,A
Erik Quintela,A
Mateo Diaz,A
Alejandro Galan,B
Mindaugas Kacinas,A
Ivan Cruz,A
Justin Pitts,A
Mo Soluade,A
Rolandas Jakstas,A
Duje Dukan,B
Osvaldas Matulionis,A
Javier Vega,A
Dagoberto Pena,A
Oscar Alvarado,A
Gaizka Maiza Apecechea,A
Cheikh Fall,B
Juan Jose Garcia,A
Edu Duran,A
Stojan Gjuroski,A
Joel Sabate,A
Alejandro Daniel Bortolussi Saluzzo,A
Zachary Michael Monaghan,A
Rafael Huertas,A
Jose Salvador Arco,A
Ronnie Harrell Jr.,A
