
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
count,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0
mean,5.0447334102065415,0.9052812734741525,1.7373871990040346,4.251317441814995,0.4075374251013965,0.8605896235656024,2.4970877110434992,0.33253438023728543,0.7111912978962233,0.9618801460618713,0.7231217647329001,1.0314890397448695,0.876275655356373,1.7502199922248345,0.49293132033433845,2.458002035856983,0.1665610730650536,0.38106963027177565,34.69797678464979,32.67831182998016,94.1299047525609,1.4780873253790197,0.5293790874680399,0.505634880395166,0.30210344980605464,0.7741947471475347,1.3415782727019574,3.357927838654173,0.2880710274635427,0.5397977635114043,0.5607253412733123,1.550257654670241,0.1646715616494242,0.4295093834717196,0.18655977299500137,0.47229753928928336,0.030049779244975518,0.0792626609409836,0.029761695760719763,0.10302096418673742,0.046095071130119084,0.14261578917302414,0.15064060126066098,0.2310505157504313,0.10230585080474582,0.30054046422359965,0.01854868696111139,0.05448084548987879,0.1898774271565843,0.44882775219910653,0.10287222360974305,0.23540322547961848,0.0870811399058693,0.21343779060039617,1.0
std,2.0786304099132082,0.17122949237861132,0.7101102835191295,1.5871972319446646,0.06592652257279212,0.49647189914565665,1.2287899903453976,0.08301681022123429,0.4385005371061273,0.5638406888134607,0.15570465892642835,0.5866055606069975,0.4808088474626885,0.8514932640678202,0.09591595431036949,1.3935584718601282,0.1998220912157986,0.4568502583474107,9.327303354212042,9.16958126696071,6.891086739377681,0.8604344024090674,0.08920334277589778,0.07931575972358842,0.1844245487676064,0.3797628781936733,0.5901733485597682,1.3206616988209725,0.19092279850984228,0.32265589119177984,0.28350860529633615,0.660201850074357,0.12580083087983915,0.25610860124854623,0.22945465306346316,0.55092766455504,0.05751888161369436,0.1299984525424305,0.04151842731057379,0.10080875979596507,0.061857682745688716,0.14813775685652678,0.14037875606427272,0.20572126910091287,0.11918593224067794,0.30391903606051707,0.0369890727089463,0.08846846705025445,0.13779820117474698,0.2839110378778356,0.09218382817073112,0.1812313363195275,0.0838928309373942,0.16354034438218093,0.0
min,1.1,0.0,0.3243844417433582,1.24,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0604705882352941,0.2,0.18,0.12,0.0,0.0,13.24009913509686,11.986798846795814,71.0,0.07,0.0,0.22,0.0,0.0,0.22,0.55,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,3.5,0.82,1.2032046979865771,3.0535238162223473,0.36,0.5,1.61,0.29,0.39,0.56,0.6496346794338052,0.64,0.5031178250069678,1.0975000000000001,0.4353718693489907,1.5275,0.06,0.12156214160750661,28.0,26.0,89.0,0.93,0.4819655172413792,0.46,0.17,0.5,0.89,2.4,0.15026826775677055,0.30926208700089297,0.35,1.06,0.07,0.24,0.04,0.13,0.0,0.0,0.0,0.03,0.0,0.04,0.049518612624747424,0.07,0.0,0.07,0.0,0.0,0.09,0.23,0.03,0.1,0.03,0.09,1.0
50%,4.9,0.92,1.67,4.1,0.41,0.78,2.359820069303132,0.34,0.6453851861061415,0.8596645768025079,0.74,0.89,0.7705595542140701,1.58,0.49,2.1,0.12,0.27,34.041172365666434,32.0,94.0,1.295,0.53,0.51,0.27,0.7,1.2846011569493072,3.2787070568660077,0.2557472802623728,0.46139369389095686,0.53,1.5,0.14390368178700955,0.38,0.10970997123681685,0.26,0.0,0.03,0.0,0.08,0.03,0.1,0.12,0.18,0.06168646486277175,0.2037239645409788,0.0,0.03,0.16327713855563103,0.39,0.08550746422837904,0.2,0.07,0.18,1.0
75%,6.0,1.02,2.2,5.3,0.45,1.14,3.2,0.383724159591591,0.96,1.2588349817803228,0.8229104823747682,1.3,1.15,2.3,0.56,3.077660593048221,0.21436671233230803,0.4824486897776946,41.0,39.0,99.0,1.8325,0.59,0.56,0.41,1.0,1.72,4.2,0.3725,0.7024999999999999,0.74,2.0,0.23293405996753822,0.58,0.24,0.6,0.04,0.1,0.05,0.15,0.07,0.21,0.21654838585978958,0.3270012923321625,0.14887931034482751,0.47,0.03,0.07,0.26556496841245286,0.63,0.14431549989171094,0.33,0.12298354277891588,0.29,1.0
max,13.0,1.37,4.5,11.0,0.72,3.0,7.0,0.56,2.7,3.8,1.0,3.779486055776892,2.6,5.0,0.74,9.0,2.1,4.8,66.0,60.0,113.57414113732015,9.0,0.77,0.74,1.0005892578962814,2.2,3.7,9.0,1.22,2.1,1.5175040711350067,4.3,0.89,1.4276404976404975,1.49,3.4,0.5,0.95,0.26,0.71,0.47,1.16,0.79,1.18,0.6117661488143908,1.7610632802410675,0.25,0.7,0.81,1.56,0.55,1.0,0.5,1.0,1.0

