
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,opponent's field goals made,opponent's field goals attempted,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,right drives made,right drives,left drives made,left drives,cluster
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,opponent's field goals made,opponent's field goals attempted,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,right drives made,right drives,left drives made,left drives,cluster
count,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0,938.0
mean,9.770435141299293,0.971424291257366,3.4306508195786978,7.825955715776838,0.43800255695212326,1.3447553433553001,3.792836905089436,0.3484308839009414,1.5597024824434655,2.0618805663022712,0.7547742659360792,1.498435476512536,2.0849683232756075,4.031488418933088,0.5133202463251532,3.544849937516907,0.4794376827381386,1.0884107969860857,49.28653557148426,46.696975995679274,94.79534867077228,1.2057787113349105,0.5579412518995579,0.5240436841680719,0.4253035360413411,1.0505794697404844,2.8052494756630115,6.561419877677735,2.9574956858875665,6.740639383496004,0.5230487035436417,0.9173331356739095,0.7979344129607574,2.134727206957465,0.34453096726035265,0.8266692424627345,0.32545947853991597,0.8135617608220546,0.22720772722510565,0.5204216352386639,0.11430704609957491,0.317980203238817,0.09103766274065858,0.251663887774675,0.3041940435757401,0.45348166038844173,0.20983746263195002,0.5718375020668818,0.11638659193400075,0.31407926216701815,0.2250623843859838,0.47950264241990354,0.21237308150814088,0.4658060496656429,1.0
std,2.542878938735131,0.11994979691479013,0.8985342182652444,1.801766343959912,0.055818265646975694,0.5845911999891973,1.3640688816526974,0.0668653321819026,0.7546996990083549,0.9443651913123616,0.10658299587932384,0.7436411179424287,0.8671552775985041,1.5167958208918633,0.0737391638063483,1.7545015926498537,0.4921033882284108,1.121896818002421,8.886586287879963,8.818437202685445,6.671668324678993,0.5126631546370982,0.061547609617888265,0.06290377724458415,0.2436083166873607,0.45862927161704053,0.8173708591999977,1.7009024082517477,0.7852079982022524,1.6383918955523629,0.2675748282293899,0.41097671575692823,0.3170079382858786,0.6588842286140587,0.19083163925136698,0.37630763774967313,0.28133770305746364,0.6542135770242086,0.2850467443805895,0.5960241736571046,0.12649360996192605,0.29542890598200794,0.10400876575214742,0.24312165855920445,0.23742333347031075,0.33734398234506613,0.25158039789090025,0.626434868356144,0.16127225467720765,0.40399690432117813,0.17250129413171578,0.3167617065543977,0.1641019303880558,0.3157661586340473,0.0
min,4.0161905405862255,0.6199999999999992,1.2999999999999992,4.0,0.2758095270293102,0.08999999999999872,0.6899999999999995,0.08999999999999872,0.18999999999999947,0.2099999999999979,0.3399999999999999,0.24999999999999992,0.09999999999999899,0.19999999999999998,0.16999999999999807,0.5999999999999998,0.0,0.0,24.580952702931132,21.871429054396696,74.0,0.20999999999999777,0.3699999999999983,0.32999999999999896,0.0,0.07999999999999967,0.6999999999999994,2.9,0.8640557048619594,2.4999999999999987,0.0,0.0,0.0,0.1999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,7.999999999999999,0.8919149002155404,2.7999999999999985,6.923362824733621,0.39999999999999886,0.9194505557301628,2.8999999999999977,0.30900352781053536,1.0181237113402055,1.379999999999998,0.6899999999999992,0.9699999999999982,1.4524999999999988,2.9777228885478957,0.45999999999999985,2.299999999999999,0.1339595231862201,0.3024999999999991,43.0,40.0,90.0,0.8178510329030555,0.5199999999999979,0.47999999999999976,0.24999999999999972,0.7199999999999982,2.220545270672293,5.3999999999999995,2.399999999999999,5.60286391042205,0.32999999999999907,0.64,0.5799999999999985,1.6824999999999994,0.20999999999999922,0.5599999999999998,0.11999999999999882,0.32417510880948475,0.0,0.04999999999999872,0.026064476456797336,0.10999999999999945,0.0,0.06999999999999797,0.12664968043703606,0.19999999999999774,0.0,0.05999999999999977,0.0,0.049221778270928995,0.10017145089414878,0.23999999999999827,0.08999999999999972,0.22999999999999962,1.0
50%,9.485492835165514,0.9699999999999992,3.385994463749336,7.999999999999998,0.43999999999999834,1.2699999999999996,3.699999999999999,0.3499999999999996,1.4199999999999997,1.9099999999999988,0.7699999999999991,1.3974762482208536,1.9891437308868485,3.8999999999999986,0.5145200338416294,3.299999999999998,0.27999999999999964,0.6499999999999984,49.0,47.0,95.0,1.1399999999999988,0.5599999999999983,0.527483071027852,0.3899999999999997,0.9999999999999982,2.6999999999999997,6.0,2.8999999999999986,6.999999999999998,0.4968694753024267,0.8629949601735671,0.7799999999999985,2.099999999999999,0.3199999999999988,0.7799999999999989,0.23999999999999827,0.6199999999999988,0.11999999999999855,0.30999999999999905,0.07999999999999889,0.22999999999999812,0.05999999999999994,0.1999999999999979,0.24999999999999944,0.3890664154346625,0.10535995464008044,0.3183953921340452,0.050706392199349345,0.13999999999999946,0.18999999999999917,0.4233881578947366,0.17999999999999977,0.3999999999999999,1.0
75%,11.0,1.05,3.9999999999999987,9.0,0.47341930141082894,1.6774999999999987,4.599999999999998,0.3899999999999994,1.999999999999998,2.5999999999999996,0.8299999999999988,1.8699999999999994,2.599999999999999,4.9,0.56,4.3999999999999995,0.7034256346888325,1.598478891528981,55.64155633983019,53.0,99.50892941055544,1.4899999999999998,0.599999999999999,0.5648026296912725,0.5499999999999987,1.3025264384522846,3.2999999999999976,7.622176788172573,3.4,7.999999999999998,0.6568634346676725,1.1317452135493369,0.9999999999999987,2.5,0.45999999999999824,1.029999999999999,0.4593003579563931,1.149999999999999,0.33446229202160194,0.7754441902225291,0.17088499999999895,0.44999999999999807,0.1399999999999986,0.3599999999999995,0.4299999999999999,0.6483539053171845,0.33845315935593023,0.9374999999999993,0.1599999999999997,0.4499999999999996,0.30999999999999833,0.6499999999999991,0.28999999999999837,0.6394353397886916,1.0
max,19.0,1.4199999999999993,6.999999999999999,17.0,0.6099999999999992,3.499999999999998,8.999999999999998,0.5499999999999998,4.9,5.999999999999999,0.9999999999999993,6.999999999999998,5.6,11.0,0.7399999999999993,16.999999999999996,3.5,7.999999999999998,81.0,70.0,115.0,4.0,0.7699999999999985,0.7399999999999998,1.6199999999999983,2.9999999999999996,5.999999999999999,14.999999999999998,5.799999999999997,13.000000000000002,2.199999999999998,3.4999999999999982,2.3931924882629088,4.499999999999997,1.209999999999998,2.699999999999998,1.4899999999999995,3.6999999999999993,1.9999999999999987,3.3999999999999986,0.9999999999999999,2.199999999999999,0.7899999999999986,1.7499999999999973,1.359999999999998,2.9999999999999996,1.3799999999999997,3.3642033165104532,0.9699999999999992,2.9999999999999982,1.2699999999999998,1.939999999999999,0.9099999999999975,1.7799999999999985,1.0

