number of player's possessions
28.0
38.0
32.0
47.0
33.0
37.0
33.0
41.0
38.0
43.0
47.0
51.0
43.0
62.0
34.0
29.0
52.0
43.0
41.0
45.0
35.0
37.0
29.0
28.0
33.0
42.0
47.0
48.0
49.0
38.0
58.0
37.0
34.0
48.0
51.0
50.0
50.0
36.0
44.0
46.0
45.0
49.0
49.0
38.0
40.0
40.0
48.0
31.0
43.0
45.0
56.0
54.0
48.0
40.0
28.0
63.0
52.0
53.0
55.0
39.0
44.0
36.0
45.0
35.0
36.0
44.0
46.0
33.0
45.0
37.0
52.0
37.0
43.0
56.0
42.0
21.0
44.0
53.0
39.0
26.0
49.0
44.0
40.0
46.0
61.0
44.0
22.0
37.0
46.0
49.0
45.0
37.0
38.0
30.0
40.0
56.0
48.0
41.0
31.0
48.0
45.0
42.0
43.0
24.0
21.0
31.0
46.0
18.0
33.0
38.0
24.0
49.0
30.0
46.0
20.0
34.0
19.0
23.0
45.0
47.0
37.0
17.0
40.0
32.0
38.0
46.0
32.0
35.0
52.0
43.0
46.0
48.0
39.0
51.0
38.0
55.0
41.0
20.0
52.0
31.0
47.0
21.0
42.0
26.0
34.0
35.0
31.0
34.0
47.0
31.0
27.0
49.0
27.0
28.0
41.0
33.0
40.0
26.0
49.0
35.0
40.0
42.0
51.0
41.0
35.0
45.0
43.0
32.0
38.0
52.0
33.0
43.0
45.0
45.0
55.0
57.0
68.0
40.0
44.0
26.0
53.0
44.0
45.0
41.0
41.0
56.0
44.0
46.0
38.0
37.0
40.0
41.0
42.0
50.0
46.0
54.0
38.0
29.0
62.0
33.0
44.0
46.0
48.0
39.0
63.0
62.0
35.0
25.0
42.0
31.0
50.0
66.0
32.0
35.0
62.0
58.0
61.0
29.0
62.0
35.0
48.0
42.0
53.0
64.0
47.0
39.0
53.0
63.0
54.0
44.0
49.0
71.0
27.0
35.0
60.0
32.0
39.0
43.0
34.0
41.0
62.0
62.0
54.0
62.0
40.0
56.0
22.0
40.0
30.0
48.0
55.0
48.0
26.0
33.0
46.0
25.0
49.0
21.0
23.0
52.0
56.0
37.0
39.0
58.0
41.0
50.0
52.0
30.0
39.0
35.0
65.0
45.0
32.0
31.0
56.0
57.0
38.0
47.0
62.0
47.0
69.0
46.0
55.0
52.0
54.0
58.0
27.0
59.0
49.0
63.0
34.0
47.0
35.0
41.0
57.0
37.0
55.0
51.0
52.0
53.0
41.0
57.0
59.0
62.0
61.0
54.0
64.0
42.0
29.0
60.0
60.0
58.0
33.0
59.0
33.0
52.0
49.0
45.0
41.0
54.0
48.0
52.0
49.0
43.0
51.0
49.0
52.0
42.0
36.0
30.0
54.0
44.0
45.0
48.0
50.0
49.0
47.0
26.0
40.0
26.0
47.0
39.0
41.0
20.0
46.0
47.0
53.0
53.0
31.0
34.0
36.0
60.0
39.0
33.0
41.0
40.0
37.0
40.0
28.0
37.0
46.0
31.0
30.0
50.0
48.0
49.0
45.0
35.0
31.0
37.0
53.0
37.0
59.0
39.0
49.0
35.0
28.0
43.0
43.0
41.0
55.0
35.0
47.0
64.0
41.0
61.0
55.0
26.0
34.0
32.0
54.0
40.0
50.0
49.0
38.0
45.0
37.0
35.0
37.0
46.0
39.0
49.0
48.0
50.0
53.0
33.0
46.0
47.0
52.0
49.0
51.0
51.0
58.0
29.0
35.0
20.0
27.0
42.0
27.0
39.0
31.0
47.0
38.0
47.0
22.0
19.0
51.0
36.0
44.0
32.0
68.0
37.0
48.0
30.0
21.0
65.0
31.0
55.0
35.0
39.0
25.0
38.0
62.0
25.0
42.0
37.0
28.0
29.0
40.0
23.0
38.0
31.0
24.0
41.0
31.0
37.0
34.0
48.0
48.0
42.0
47.0
35.0
55.0
27.0
38.0
43.0
41.0
23.0
40.0
38.0
38.0
42.0
44.0
33.0
47.0
49.0
42.0
50.0
43.0
49.0
41.0
35.0
45.0
35.0
34.0
43.0
49.0
35.0
30.0
54.0
40.0
31.0
37.0
29.0
28.0
46.0
48.0
40.0
42.0
41.0
59.0
61.0
39.0
39.0
41.0
42.0
41.0
56.0
60.0
62.0
46.0
27.0
56.0
53.0
48.0
68.0
50.0
47.0
53.0
49.0
44.0
40.0
33.0
30.0
50.0
68.0
28.0
31.0
58.0
32.0
33.0
27.0
59.0
43.0
62.0
