player name,off_cluster
Tyrone Wallace,2
Justin Patton,0
Emmanuel Nzekwesi,0
Terry Tarpey,2
Dylan Affo Mama,0
Juhann Mathieu Begarin,2
Armel Traore,1
Rion Cortez Brown,2
Kaza Kajami-Keane,2
Mike Scott,0
Kim Tillie,0
Milan Barbitch,2
Bruno Cingala-Mata,0
Hans Vanwijn,0
Jeremy Evans,0
Meredis Houmounou,2
Axel Toupane,2
Tres Tinkle,0
Ronald Curry,2
Jordan Loyd,2
Hugo Besson,2
Miralem Halilovic,0
TaShawn Thomas,0
Kyle Allman,2
Justin Bibbins,2
Jaime Smith,2
Tremont Waters,2
Trevon Scott,0
Gaylor Curier,1
Abdoulaye Saadi N'Doye,2
Kenny Boynton,2
Donte Lamont Grantham,0
Rudy Demahis Ballou,2
Robert Johnson,2
Ike Nwamu,2
Kyle Christopher Vinales,2
Frank Mason III,2
Keandre Cook,2
Parker Jackson-Cartwright,2
Gabe DeVoe,2
Frank Gaines,2
Abdoulaye Ndoye,2
C.J. Williams,2
Aaron Henry,2
Tahjere McCall,2
Barry Brown,2
Tyus Battle,2
Nicolas Laprovittola,2
Vincent Yann Poirier,0
Rolands Smits,0
Guerschon Yabusele,0
Edy Tavares,0
Pau Ribas,2
Ante Tomic,0
Joel Parra Lopez,0
Nikola Mirotic,0
Guillem Vives,2
Albert Ventura,1
Kyle Kuric,2
Sergi Martinez Costa,1
Derek Willis,0
Steven Enoch,0
Nigel Hayes,1
Josep Busquets,1
Nick Calathes,2
Jayson Granger,2
Simone Fontecchio,2
Wade Baldwin IV,2
Simon Birgander,0
Rokas Jokubaitis,2
Sergio Llull,2
Rokas Giedraitis,1
Brandon Davies,0
Andres Feliz Sarita,2
Adam Hanga,2
Matthew Costello,0
Jaime Pradilla,0
Fabien Causeur,2
Vanja Marinkovic,1
Miquel Salvo,0
Bojan Dubljevic,0
Tadas Sedekerskis,1
Sertac Sanli,0
Dylan Jonathan Howell Ennis McIntrye,2
Augusto Lima,0
Dino Radoncic,0
Oriol Pauli,2
Tryggvi Hlinason,0
Emanuel Ion Cate,0
Nemanja Radovic,0
Dairis Bertans,1
Tomas Bellas,2
Thomas Scrubb,2
Adam Waczynski,2
Nico Brussino,2
Josep Puerto,1
Jordan Sakho,0
Thaddeus McFadden,2
Jordan Davis,2
Gytis Masiulis,0
Isaiah Taylor,2
Dusan Ristic,0
Angel Delgado,0
Shannon Evans,2
Jasiel Rivero Fernandez,0
Kassius Robertson,2
Codi Miller-McIntyre,2
Erik Quintela,2
Khalifa Diop,0
Jeffery Taylor,1
Tyler Kalinosky,2
Louis Labeyrie,0
Clevin Hannah,2
Xabier Lopez-Arostegui,2
Sadiel Rojas,1
Rafa Freire Luz,2
Artem Pustovyi,0
Jeff Withey,0
Pablo Almazan Sierra,1
Kyle Alexander,0
Ivan Cruz,0
Laurynas Birutis,0
Vitto Brown,0
James Webb,0
A.J. Slaughter,2
Rodrigo Miguel,2
Braydon Hobbs,2
Marko Lukovic,0
John Shurna,0
Jovan Novak,2
Rasid Mahalbasic,0
Henry Ellenson,0
Kwan Cheatham Jr.,0
Moussa Diagne,0
Alberto Abalde,2
Oliver Stevic,0
Mindaugas Kacinas,1
Andrew Crawford,1
Victor Arteaga,0
Sergi Quintela Salvador,2
Alex Reyes,1
Ludde Hakanson,2
Christopher Czerapowicz,1
Martin Hermannsson,2
Alvaro Munoz,1
Viny Okouo,0
Andrew Goudelock,2
Jonathan Rousselle,2
Ziga Samar,2
Rudy Fernandez,2
Dzanan Musa,2
Babatunde Olumuyiwa,0
Andrew Albicy,2
Fernando Zurbriggen,2
Arturs Kurucs,1
Trae Bell-Haynes,2
Christian Eyenga,1
Leo Meindl,2
Conor Morgan,1
Nigel Williams-Goss,2
Laurynas Beliauskas,2
Hans Vanwijn,0
Obi Emegano,2
Mario Nakic,1
Vladimir Brodziansky,0
Thomas David Heurtel,2
Edgar Vicedo,1
Brandon Paul,1
Anzejs Pasecniks,0
Anthony Randolph,1
Deon Thompson,0
Mike Tobey,0
Ilimane Diop,0
David Jelinek,1
Beka Burjanadze,0
Alex Suarez,1
Ignacio Llovet Camp,0
Damien Inglis,0
Matt Mobley,2
Victor Claver,1
Gabriel Deck,2
Eulis Baez,0
Alec Peters,0
Alejandro Abrines Redondo,1
Aleksandar Cvetkovic,1
Sam Van Rossom,2
Omar-Sharif Cook,2
Pepe Pozas,1
Nenad Dimitrijevic,2
Chris Kramer,2
Santiago Yusta,2
Dante Exum,2
Cory Higgins,2
Ferran Bassas,2
Dragan Milosavljevic,2
Valentin Bigote,2
Jacob Wiley,0
Klemen Prepelic,2
Tarik Phillip,2
Stan Okoye,2
Philip Scrubb,2
Arturas Gudaitis,0
Georgios Papagiannis,0
Derrick Williams,0
Panagiotis Kalaitzakis,1
Thomas Walkup,2
Aleksandar Vezenkov,0
Giannoulis Larentzakis,2
Joel Bolomboy,0
Paris Lee,2
Alec Peters,0
Michail Lountzis,1
Lefteris Mantzoukas,1
Lefteris Bochoridis,1
Georgios Kalaitzakis,1
Kostas Papanikolaou,1
Mateusz Ponitka,2
Moustapha Fall,0
Konstantinos Sloukas,2
Vassilis Mouratos,2
Anthony Cowan Jr.,2
Arnoldas Kulboka,0
Shaquielle McKissic,2
Yanick Moreira,0
Omer Netzip Oglou,1
Linos Chrysikopoulos,0
Nikos Gkikas,2
Noah Horchler,0
Janaud Notae,2
Vasileios Toliopoulos,2
Giorgos Bogris,0
Michalis Tsairelis,0
Dmitrios Katsivelis,2
Giannis Agravanis,2
Chevez Goodwin,0
A.J. Davis,2
Rayshawn Simmons,2
Nick Griffin,2
Davonte Lacy,2
Zois Karampelas,2
George Conditt IV,0
Giannis Athinaiou,2
Sarantis Mastrogiannopoulos,2
Ibrahim Sylla,0
Nikolaos Arsenopoulos,2
Savion Flagg,2
Giorgos Fillios,1
Tarik Black,0
Deontae Hawkins,0
Emmanouil Chatzidakis,0
David Gabrovsek,0
Omar Calhoun,1
Sayeed Pridgett,2
Petros Geromichalos,0
Vangelis Mantzaris,2
Nemanja Dangubic,1
Marius Grigonis,2
Marquis Teague,2
Charalampos Giannopoulos,1
Elijah Mitrou-Long,2
Chris Coffey,0
Josh Hagins,2
Alexandros Nikolaidis,2
Ismael Sanogo,0
Loukas Mavrokefalidis,0
Dwayne Bacon,2
Michael Andre Dixon Jr,2
Justin Gray,1
Kendall Smith,2
Isaiah Canaan,2
Theodoros Zaras,2
Iosif Koloveros,2
Nate Wolters,2
Dustin Hogue,0
Angel Nunez,2
Cyril Langevine,0
Trevis Simpson,1
Jim Boeheim,0
Alex Hunter,2
T.J. Starks,2
Alonzo Verge,2
Sean Evans,0
David Iriarte,0
Thomas Bropleh,2
German Martinez,1
Lluis Costa,2
Alex Murphy,0
Manuel Rodriguez,1
Sergi Quintela Salvador,2
Adam Sollazzo,2
Kevin Ricki Larsen,0
Jonas Zohore-Bergstedt,0
Chumi Ortega Soriano,1
Txemi Urtasun,2
Jorge Alain Bilbao Torrontegui,0
Seydou Aboubacar Hima,0
Christian Diaz Rodriguez,2
Erik Quintela,2
Mateo Diaz,1
Alejandro Galan,0
Mindaugas Kacinas,0
Ivan Cruz,0
Justin Pitts,2
Mo Soluade,1
Rolandas Jakstas,0
Duje Dukan,0
Osvaldas Matulionis,1
Javier Vega,0
Dagoberto Pena,2
Oscar Alvarado,2
Gaizka Maiza Apecechea,2
Cheikh Fall,0
Juan Jose Garcia,0
Edu Duran,2
Stojan Gjuroski,0
Joel Sabate,1
Alejandro Daniel Bortolussi Saluzzo,1
Zachary Michael Monaghan,2
Rafael Huertas,1
Jose Salvador Arco,1
Ronnie Harrell Jr.,2
Sean McDonnell,1
Edu Martinez,1
Andre Lazar Norris Jr,2
Jeffrey Solarin,0
Clint Robinson,0
Jose Ignacio Nogues,1
Gary McGhee,0
Alejandro Hernandez,2
Nikola Cvetinovic,0
Carles Bivia,2
Joan Faner Fahner Catala,2
Marc-Eddy Norelia,0
Elijah Brown,2
Arnaud William Adala Moto,2
Micah Speight,2
Juan Rubio,2
Carlos Noguerol Barrenechea,2
Chuso Gonzalez,1
Eduard Gatell,0
Patrick Whelan,1
Robert Michael Harris II,2
Oliver Arteaga,0
Herve Kabasele Kasonga,0
Albert Sabat,2
David Navarro,2
Davis Rozitis,0
Ferran Ventura Pedreno,1
Sasa Borovnjak,0
Alf Sylvester Berg Pedersen,0
Papa Mbaye,0
Marc Marti,0
Agusti Sans,2
Justin Tafari Raffington,0
Daniel Rodriguez,2
Filip Djuran,1
Aaron Menzies,0
Francisco Del Aguila,0
Miguel Gonzalez,2
Andris Misters,2
Reed Timmer,2
Jacob Round,1
Tomas Pavelka,0
Sergio Mendiola,0
Karamo Jawara,0
Adrian Chapela,2
Eddy Polanco,2
Ryan Logan,2
Kevin Bercy,0
Adonys Henriquez,2
Cameron Oluyitan,1
Mikel Sanz,1
Djordje Dimitrijevic,2
Michael Buchanan,0
Robert Cosialls,1
Luciano Massarelli,2
Roeland Schaftenaar,0
Jose Ignacio Martin Monzon,0
Miguel Feliu,1
Jorge Lafuente,0
Matej Kavas,1
Ivan Martines Munumer,2
Jubril Adekoyo,0
Mathieu Kamba,2
Alec Wintering,2
Antoine Mason,2
Harald Frey,2
Olaf Schaftenaar,0
Aitor Zubizarreta,2
Joey Van Zegeren,0
Jose Maria Gil,0
Sean Smith,0
Ander Urdiain Labayen,1
Biram Faye,0
Ayoze Alonso,2
Serigne Barro,0
Mirza Bulic,0
Jeffrey Xavier,2
Alejandro Mazaira,0
Jorge Sanz,2
Mikel Uriz,2
Kris Joseph,2
Spencer Reaves,2
Arkeem Joseph,0
Preston Purifoy,2
Devin Schmidt,2
Sergio De La Fuente,0
Chukwukelue Okeke,0
Daniel De La Rua De Augustin,2
Gerard Sevillano,1
Alberto Ruiz De Galarreta Fernandez,2
Toledo,0
David Cubillan,2
Pedro Llompart Uson,2
Nicolas Richotti,2
Daniel Clark,0
Ignacio Rosa Pompido,0
Kevin van Wijk,0
Joan Tomas,1
Strahinja Gavrilovic,0
Pablo Ferreiro Costas,1
Diogo Emanuel de Sousa Anjo Brito,1
Conner Toolson,1
Luis Maria Parejo Camacho,2
Jabari Narcis,0
Ramon Vila,0
Justin Kohajda,0
Alberto Martin,2
Kimbal Mackenzie,2
Sami Eleraky,0
Ricardo Uriz,2
Khadim Sow,0
Kaspars Vecvagars,2
Diego Kapelan,2
Federico Ucles Belmonte,0
Kari Jonsson,2
Bryce Douvier,0
Noah Allen,2
Will Butler,0
Gregory Robert Gantt,1
Matt Stainbrook,0
Jaron Michael Martin,2
Moussa Kone,0
Marinus Lucas N'Guessan,0
Roma Bas Mari,1
Sigtryggur Arnar Bjornsson,2
Lotanna Nwogbo,0
Ander Martinez De La Orden,2
Saul Blanco,2
Nedim Dedovic,1
Facundo Corvalan,2
Michael Carrera Gamboa,0
Joan Pardina,2
Andre Spight,2
Francisco Javier Cardenas Maldonado,2
Jaan Puidet,1
Evan Michael Yates,0
Raven Barber,0
Augustas Peciukevicius,2
Tyler Rawson,0
Miguel Gonzalez,1
Albert Sabat,2
Thomas Schreiner,2
Toledo Zamora Carlos,0
Josep Franch,2
Jaume Sorolla,0
Judicael Romaric Belemene Dzabatou,0
Adams Sola,1
Eric Vila,0
Albert Lafuente Siso,2
Mads Bonde Sturup,1
Ignacio Arroyo Varela,2
Jaume Lobo Martorell,2
Chumi Ortega Soriano,1
Alf Sylvester Berg Pedersen,1
Duje Dukan,0
Julen Olaizola,0
Jose Ignacio Martin Monzon,0
Roberts Blumbergs,0
Jorge Sanz,2
Prince Ali,2
Davis Geks,1
Alec Wintering,2
Jordy Kuiper,0
Johnny Dee,2
Bamba Fall,0
Jaan Puidet,2
Benoit Mbala Mendzana,0
Kaspars Vecvagars,2
Michael Carrera Gamboa,0
Mo Soluade,2
Javier Vega,0
Noah Allen,2
Melwin Jan Pantzar,2
Sean McDonnell,0
Micah Speight,2
Devin Schmidt,2
Mateo Diaz,2
Faggiano,2
Javier Beiran,2
Johan Jerker Lofberg,2
Felipe Dos Anjos,0
Justin Tafari Raffington,0
Nick Ward,0
Mark Hughes,2
Mathieu Kamba,2
Sergio De La Fuente,0
Kavion Pippen,0
Daniel Rodriguez,2
Mario Delas,0
Nemanja Djurisic,0
Maximo Fjellerup,2
Alexis Bartolome Frases,1
Lluis Costa,2
Arvydas Gydra,0
Nikola Rakocevic,2
Carles Bivia,2
Jorge Lafuente,0
Osvaldas Matulionis,2
Domagoj Proleta,0
Alejandro Mazaira,0
Joel Sabate,1
Eduard Gatell,0
Fran Pilepic,2
Thomas Bropleh,2
Robertas Grabauskas,0
Calvin Hermanson,2
Matej Kavas,1
Tomas Pavelka,0
Eddy Polanco,2
Frederic Stutz,0
Kevin Bercy,0
Ander Martinez De La Orden,1
Oliver Arteaga,0
Oscar Alvarado,2
Nedim Dedovic,1
Menno Dijkstra,0
Rodrigo Seoane,1
Joan Feliu Espejo,1
Pere Tomas Noguera,2
Charles Barton,2
James Ellisor,2
Fabio Santana,2
Benjamin Simons,0
Ioannis Dimakopoulos,0
Konstantin Iroslavov Kostadinov,0
Adrian Chapela,2
Rafael Casanova,2
Aitor Zubizarreta,2
Kyle Mallers,1
Gaizka Maiza Apecechea,2
Mikel Sanz,1
Juan Rubio,0
Ondrej Hanzlik,2
Manex Ansorregui,0
Jacobo Diaz Alejano,0
German Martinez,2
Inigo Royo,0
Aegir Thor Steinarsson,2
Mamadou Ndieye Niang,0
David Cuellar Garcia,1
Davis Rozitis,0
Rolandas Jakstas,0
Mouhamed Barro,0
Joan Faner Fahner Catala,2
Pol Figueras Lopes,2
Pavel Savkov,2
Benat Hevia,2
Juan Aleberto Esteves-Garcia Coffi,1
David Hook,1
Sergi Costa Vazquez,2
Alejandro Llorca Castillo,2
David Iriarte,0
Atouman Diagne,0
Edu Martinez,1
Alonso Meana Perez,2
Karamo Jawara,0
Pablo Hernandez Montenegro,0
Ayoze Alonso,2
Miguel Allen Montesdeoca,0
Ashley Hamilton,0
Aaron Menzies,0
Devon van Oostrum,2
Jalen Nesbitt,2
Kadre Gray,2
Fausto Ruesga,1
Ruben Dominguez Gonzales,1
Tarontate De Shawn Crocki,2
Gerard Sevillano,1
Manuel Rodriguez,2
Sergio Mendiola,0
Joey Van Zegeren,0
Adria Domenech,0
Ander Urdiain Labayen,1
Robert Cosialls,1
Ignacio Rosa Pompido,0
Zachary Michael Monaghan,2
Kai Edwards,0
Herve Kabasele Kasonga,0
Wesley David Van Beck,2
Roeland Schaftenaar,0
Pedro Llompart Uson,2
Mikel Motos,2
Shaquille Cleare,0
Arnau Parrado Calabria,0
Karl Olle V. Lundqvist Lundqvist,2
Marc Blanch Espinal,2
Ibon Guridi,1
Marc Penarroya,2
Aitor Etxeguren,0
Juan Ignacio Marcos,2
Marc Gasol,0
Goncalo Delgado,0
Guillem Arcos Gonzalez,2
Amaury Gorgemans,0
Alejandro Hernandez,2
Anthony Elechi,0
Jorge Alain Bilbao Torrontegui,0
Carlos Noguerol Barrenechea,2
Serigne Barro,0
Amadi Ikpeze,0
Christian Diaz Rodriguez,2
Josep Perez,2
Andres Ibarguen,0
Boyd Kjeld van der Vuurst de Vries,1
Jeffrey Xavier,2
Xabi Oroz,2
Joan Tomas,1
Ryan Nicholas,0
Jaime Fernandez Manzanares,0
Xavier Rey Sanuy,0
Paul Jorgensen,2
Justin Pitts,2
Hansel Giovanny Atencia Suarez,2
Njegos Sikiras,0
Chris-Ebou Ndow,2
Dominic Gilbert,2
Zaid Hearst,2
Edwin Jackson,2
Olaf Schaftenaar,0
Abdou Thiam,0
Thomas De Thaey,0
Serhii Pavlov,0
Yannis Mendy,0
Keith Omoerah,2
Thomas Klepeisz,2
Yago Mateus dos Santos,2
Karim Jallow,2
Robin Manuel Christen,0
Joshua Hawley,0
Juan Nunez Garcia,2
Harald Frey,2
Freddie Gillespie,0
DeWayne Russell,2
Jan-Niklas Wimberg,0
Till Pape,0
Brandon Paul,2
TJ Holyfield,0
Trey Drechsel,2
Rayshaun Hammonds,0
Harper Kamp,0
Ognjen Jaramaz,2
Javon Anthony Bess,2
Isaac Bonga,0
Fedor Zugic,1
John Bryant,0
Bogdan Radosavljevic,0
Robin Amaize,2
Louis Olinde,1
Martin Breunig,0
Maximilian Ugrai,0
Lukas Wank,0
Torrian Corey Walden,2
Myles Stephens,1
Nick Weiler-Babb,2
Kalif Young,0
Arunas Mikalauskas,1
Ahmed Hill,2
Jaren Michael Lewis,2
Maximilian DiLeo,1
Len Schoormann,1
Ziga Samar,2
Stanley Whittaker,2
Cameron Hunt,2
Selom Mawugbe,0
Mark Smith,2
O'Showen Williams,1
Malte Delow,1
Bastian Doreth,1
Mathis Monninghoff,1
Sid-Marlon Theis,0
Johannes Thiemann,0
Vincent Kesteloot,0
Edon Maxhuni,2
Jonas Wohlfarth-Bottermann,0
Lukas Meisner,0
Tremmell Darden,0
Geno Crandall,2
Kay Bruhnke,0
Jonas Mattisseck,1
Till Gloger,0
Filip Stanic,0
Nicholas Tischler,0
Brandon Tischler,2
Tim Schneider,0
Fabian Bleck,0
Kostja Mushidi,2
Cassius Winston,2
Owen Klassen,0
Elias Lasisi,2
Jaleen Smith,2
Eric Washington,2
Jackson Rowe,0
Christoph Philipps,1
Sananda Fru,0
Quantez Robertson,0
Andreas Obst,2
Bennet Hundt,2
Otis Livingston II,2
Stephon Jelks,0
Yanni Wetzell,0
Derrick Alston Jr.,0
JeQuan Lewis,2
Asbjorn Midtgaard,0
Julius Bohmer,1
David Kramer,2
Nijal Pearson,2
Bruno Caboclo,0
Seth Hinrichs,0
Luc Van Slooten,0
Sasha Mattias Grant,0
Yoeli Childs,0
Kristopher Clyburn,2
Christopher Carter,2
Nat-Sidi Diallo,0
Maurice Stuckey,2
Maodo Lo,2
Brandon Childress,2
Tanner Leissner,0
Nico Carvacho,0
Christ Koumadje,0
Mitchell Ballock,1
Collin Welp,0
Joshua Obiesie,2
Alen Pjanic,0
Charles Callison,2
Akeem Vargas,1
Yovel Zoosman,1
Jason George,1
James Frazier,2
Bryan Griffin,0
David Fuchs,1
Paul Zipser,1
Luke Sikma,0
Patrick Miller,2
Tim Coleman,2
Gabriele Procida,1
Norris Agbakoko,0
Felix Hoffmann,0
Tyler Nelson,2
Ben Lammers,0
Laurynas Beliauskas,2
Braydon Hobbs,2
Shyron Ely,2
Jordan Roland,2
Benedikt Turudic,0
Jilson Bango,0
Tamir Blatt,2
Osaro Jurgen Rich,2
Lucas Herzog,1
Marcus Lewis,2
Ignas Sargiunas,2
Philipp Herkenhoff,1
Kenneth Ogbe,1
Sam Waardenburg,0
James Woodard,2
Einaras Tubutis,0
Elias Harris,0
Hassani Gravett,2
Zylan Cheatham,0
Matt Haarms,0
Isaiah Washington,2
Scottie Reynolds,2
Divine Myles,2
Bruno Vrcic,1
C.J. Bryce,2
Dayon Griffin,2
Augustine Rubit,0
Xeyrius Clifton Williams,0
MaCio Teague,2
De'jon Davis,0
Mario Ihring,2
Jack McVeigh,0
Derek Cooke Jr.,0
Jordan Theodore,2
Marcos Portalez Mur,0
Damian Prgomet,0
Gaizka Maiza Apecechea,2
Ousmane Ndiaye,0
Joseba Querejeta,2
Maximiliano Sole Mouratay,0
Corey Silverstrom,2
Juan Hierrezuelo,0
Erikas Kalinicenko,1
Toni Naspler Peraire,2
Guillem Vazquez Vallejo,1
Hunter Preston,0
Guillermo Bastante,0
Jorge Martinez Cabezudo,2
Martin Fernandez Carballo,2
Sergio Hernandez Benaches,1
Adrian Galvez Orts,2
Luis Verdeguer Ferrer,0
Sergio Romero Sanchez,1
Erik Persson,2
Jeffrey Godspower,0
Oliver Bieshaar,0
Miguel Martinez Hernandez,2
Isaac Mayo Schwandt,2
Eduard Arques Lopez,0
Ondrej Hustak,0
Alejandro Llorca Castillo,2
Sergio Mendiola,0
Nelson Yengue,0
Omar Lo,0
Nolan Patrick Bertain,1
Souleymane Traore,0
Adria Hernandez,1
Antonio Jose Morales Ros,0
Javier Dalmau Roig,1
Franger Jesus Pirela Perez,2
Marc Garcia Calvo,2
Jordi Grimau,0
Ervins Jonats,0
Pol Molins Calderon,2
Thomas Smallwood,0
Diego Gallardo,2
Lang Acoydan McCarthy,2
Didac Cuevas Simarro,2
Alex Tamayo,1
Aleix Haro Val,2
Emilio Martinez,1
Victor Aguiler Hernandez,2
Nedim Dedovic,0
Ignacio Arroyo Varela,2
Garmine Kande Kieli,0
David Font Rodriguez,2
Peter Stumer,1
Diego Alderete Diaz,0
Johan Ernest Bitjaa Kody,0
Ismael Tamba,0
Rodrigo Seoane,1
Isaiah Powell,2
Nyameye Adom,2
Abdou Thiam,0
Pa Mor Diene,0
Pablo Marin Fontan,2
Quim Salvans Hidalgo,2
Kevin Navarro Arrue,2
Alvaro Martinez Clariana,2
Sediq Garuba,2
Tomislav Mihael Buljan,0
Lucas Sigismonti,1
Jordi Rodriguez Stegemeijer,2
Viktor Kovacevic,0
Gerard Jofresa Sarret,2
Josep Peris Crespo,2
Gerard Sevillano,2
Adnan Omeragic,1
Zarko Jukic,0
Maxim Esteban Calvo,1
Jhery Raul Matos Ramirez,2
Joseph Robert Cremo,2
Pau Carreno,1
Milan Suskavcevic,0
Adrian Mendez Carrion,2
Jahvaughn Powell,2
Fausto Ruesga,2
Carles Marzo,2
Zachary John Tavitian,0
Gullit Mukendi,0
Vinicus Da Silva,0
